datetime,RH%,tempC,CH4smV,K33_RH,K33_Temp,K33_CO2,SampleNumber,PumpCycle,pred_CH4,station,sensor
2021-09-28T04:42:28Z,78.2,17.6,805.66,48.88,25.43,376,926,2,49.60833371274637,1,1
2021-09-28T04:42:30Z,78.2,17.6,805.66,48.78,25.48,377,927,2,49.60833371274637,1,1
2021-09-28T04:42:32Z,78.2,17.6,805.66,48.78,25.48,377,928,2,49.60833371274637,1,1
2021-09-28T04:42:34Z,78.2,17.6,810.55,48.78,25.48,377,929,2,50.59127857772555,1,1
2021-09-28T04:42:36Z,78.2,17.6,810.55,48.78,25.48,377,930,2,50.59127857772555,1,1
2021-09-28T04:42:38Z,78.2,17.6,810.55,48.78,25.48,377,931,2,50.59127857772555,1,1
2021-09-28T04:42:40Z,78.2,17.6,810.55,48.78,25.48,377,932,2,50.59127857772555,1,1
2021-09-28T04:42:42Z,78.2,17.6,810.55,48.78,25.48,377,933,2,50.59127857772555,1,1
2021-09-28T04:42:44Z,78.2,17.6,805.66,48.78,25.48,377,934,2,49.60833371274637,1,1
2021-09-28T04:42:46Z,78.2,17.6,805.66,48.78,25.48,377,935,2,49.60833371274637,1,1
2021-09-28T04:42:48Z,78.2,17.6,805.66,48.78,25.48,377,936,2,49.60833371274637,1,1
2021-09-28T04:42:50Z,78.2,17.6,805.66,48.69,25.52,376,937,2,49.60833371274637,1,1
2021-09-28T04:42:52Z,78.2,17.7,815.43,48.69,25.52,376,938,2,51.362586275972376,1,1
2021-09-28T04:42:54Z,78.2,17.6,810.55,48.69,25.52,376,939,2,50.59127857772555,1,1
2021-09-28T04:42:56Z,78.2,17.6,810.55,48.69,25.52,376,940,2,50.59127857772555,1,1
2021-09-28T04:42:58Z,78.2,17.6,810.55,48.69,25.52,376,941,2,50.59127857772555,1,1
2021-09-28T04:43:00Z,78.2,17.7,810.55,48.69,25.52,376,942,2,50.37652624696378,1,1
2021-09-28T04:43:02Z,78.1,17.6,810.55,48.69,25.52,376,943,2,50.637329927165496,1,1
2021-09-28T04:43:04Z,78.1,17.6,805.66,48.69,25.52,376,944,2,49.653793602333565,1,1
2021-09-28T04:43:06Z,78.2,17.7,805.66,48.69,25.52,376,945,2,49.39633955049581,1,1
2021-09-28T04:43:08Z,78.1,17.6,805.66,48.69,25.52,376,946,2,49.653793602333565,1,1
2021-09-28T04:43:10Z,78.2,17.7,805.66,48.59,25.56,376,947,2,49.39633955049581,1,1
2021-09-28T04:43:12Z,78.2,17.7,805.66,48.59,25.56,376,948,2,49.39633955049581,1,1
2021-09-28T04:43:14Z,78.1,17.6,815.43,48.59,25.56,376,949,2,51.626759655695196,1,1
2021-09-28T04:43:16Z,78.1,17.6,815.43,48.59,25.56,376,950,2,51.626759655695196,1,1
2021-09-28T04:43:18Z,78.2,17.7,810.55,48.59,25.56,376,951,2,50.37652624696378,1,1
2021-09-28T04:43:20Z,78.1,17.6,810.55,48.59,25.56,376,952,2,50.637329927165496,1,1
2021-09-28T04:43:22Z,78.2,17.7,810.55,48.59,25.56,376,953,2,50.37652624696378,1,1
2021-09-28T04:43:24Z,78.1,17.7,805.66,48.59,25.56,376,954,2,49.44182567269854,1,1
2021-09-28T04:43:26Z,78.1,17.6,805.66,48.59,25.56,376,955,2,49.653793602333565,1,1
2021-09-28T04:43:28Z,78.1,17.6,805.66,48.59,25.56,376,956,2,49.653793602333565,1,1
2021-09-28T04:43:30Z,78.1,17.6,805.66,48.49,25.62,378,957,2,49.653793602333565,1,1
2021-09-28T04:43:32Z,78.1,17.7,815.43,48.49,25.62,378,958,2,51.40925954658903,1,1
2021-09-28T04:43:34Z,78.1,17.7,810.55,48.49,25.62,378,959,2,50.422604170320966,1,1
2021-09-28T04:43:36Z,78,17.6,810.55,48.49,25.62,378,960,2,50.68343447491591,1,1
2021-09-28T04:43:38Z,78.1,17.7,810.55,48.49,25.62,378,961,2,50.422604170320966,1,1
2021-09-28T04:43:40Z,78.1,17.7,810.55,48.49,25.62,378,962,2,50.422604170320966,1,1
2021-09-28T04:43:42Z,78.1,17.7,810.55,48.49,25.62,378,963,2,50.422604170320966,1,1
2021-09-28T04:43:44Z,78.1,17.7,805.66,48.49,25.62,378,964,2,49.44182567269854,1,1
2021-09-28T04:43:46Z,78.1,17.7,805.66,48.49,25.62,378,965,2,49.44182567269854,1,1
2021-09-28T04:43:48Z,78.1,17.7,805.66,48.49,25.62,378,966,2,49.44182567269854,1,1
2021-09-28T04:43:50Z,78,17.7,805.66,48.33,25.64,378,967,2,49.48736449413809,1,1
2021-09-28T04:43:52Z,78,17.7,810.55,48.33,25.64,378,968,2,50.46873547856296,1,1
2021-09-28T04:43:54Z,78,17.7,810.55,48.33,25.64,378,969,2,50.46873547856296,1,1
2021-09-28T04:43:56Z,78,17.7,815.43,48.33,25.64,378,970,2,51.455986891846976,1,1
2021-09-28T04:43:58Z,78,17.7,810.55,48.33,25.64,378,971,2,50.46873547856296,1,1
2021-09-28T04:44:00Z,78,17.7,810.55,48.33,25.64,378,972,2,50.46873547856296,1,1
2021-09-28T04:44:02Z,78,17.7,810.55,48.33,25.64,378,973,2,50.46873547856296,1,1
2021-09-28T04:44:04Z,78,17.7,805.66,48.33,25.64,378,974,2,49.48736449413809,1,1
2021-09-28T04:44:06Z,78,17.7,805.66,48.33,25.64,378,975,2,49.48736449413809,1,1
2021-09-28T04:44:08Z,78,17.7,805.66,48.33,25.64,378,976,2,49.48736449413809,1,1
2021-09-28T04:44:10Z,78,17.7,805.66,48.23,25.69,379,977,2,49.48736449413809,1,1
2021-09-28T04:44:12Z,77.9,17.7,815.43,48.23,25.69,379,978,2,51.50276840984898,1,1
2021-09-28T04:44:14Z,77.9,17.7,815.43,48.23,25.69,379,979,2,51.50276840984898,1,1
2021-09-28T04:44:16Z,77.9,17.7,810.55,48.23,25.69,379,980,2,50.51492026854123,1,1
2021-09-28T04:44:18Z,77.9,17.7,810.55,48.23,25.69,379,981,2,50.51492026854123,1,1
2021-09-28T04:44:20Z,77.9,17.7,810.55,48.23,25.69,379,982,2,50.51492026854123,1,1
2021-09-28T04:44:22Z,77.9,17.7,810.55,48.23,25.69,379,983,2,50.51492026854123,1,1
2021-09-28T04:44:24Z,77.9,17.7,805.66,48.23,25.69,379,984,2,49.532956110421935,1,1
2021-09-28T04:44:26Z,77.9,17.7,805.66,48.23,25.69,379,985,2,49.532956110421935,1,1
2021-09-28T04:44:28Z,77.9,17.7,805.66,48.23,25.69,379,986,2,49.532956110421935,1,1
2021-09-28T04:44:30Z,77.9,17.7,805.66,48.11,25.73,379,987,2,49.532956110421935,1,1
2021-09-28T04:44:32Z,77.9,17.7,805.66,48.11,25.73,379,988,2,49.532956110421935,1,1
2021-09-28T04:44:34Z,77.9,17.7,815.43,48.11,25.73,379,989,2,51.50276840984898,1,1
2021-09-28T04:44:36Z,77.9,17.7,810.55,48.11,25.73,379,990,2,50.51492026854123,1,1
2021-09-28T04:44:38Z,77.9,17.7,810.55,48.11,25.73,379,991,2,50.51492026854123,1,1
2021-09-28T04:44:40Z,77.9,17.7,810.55,48.11,25.73,379,992,2,50.51492026854123,1,1
2021-09-28T04:44:42Z,77.8,17.7,810.55,48.11,25.73,379,993,2,50.56115863734615,1,1
2021-09-28T04:44:44Z,77.8,17.7,805.66,48.11,25.73,379,994,2,49.57860061739359,1,1
2021-09-28T04:44:46Z,77.8,17.7,805.66,48.11,25.73,379,995,2,49.57860061739359,1,1
2021-09-28T04:44:48Z,77.8,17.7,805.66,48.11,25.73,379,996,2,49.57860061739359,1,1
2021-09-28T04:44:50Z,77.8,17.7,805.66,47.98,25.78,378,997,2,49.57860061739359,1,1
2021-09-28T04:44:52Z,77.8,17.7,815.43,47.98,25.78,378,998,2,51.54960419893993,1,1
2021-09-28T04:44:54Z,77.8,17.7,810.55,47.98,25.78,378,999,2,50.56115863734615,1,1
2021-09-28T04:44:56Z,77.8,17.7,810.55,47.98,25.78,378,1000,2,50.56115863734615,1,1
2021-09-28T04:44:58Z,77.8,17.7,810.55,47.98,25.78,378,1001,2,50.56115863734615,1,1
2021-09-28T04:45:00Z,77.8,17.7,810.55,47.98,25.78,378,1002,2,50.56115863734615,1,1
2021-09-28T04:45:02Z,77.8,17.7,810.55,47.98,25.78,378,1003,2,50.56115863734615,1,1
2021-09-28T04:45:04Z,77.8,17.7,805.66,47.98,25.78,378,1004,2,49.57860061739359,1,1
2021-09-28T04:45:06Z,77.8,17.7,805.66,47.98,25.78,378,1005,2,49.57860061739359,1,1
2021-09-28T04:45:08Z,77.8,17.7,805.66,47.98,25.78,378,1006,2,49.57860061739359,1,1
2021-09-28T04:45:10Z,77.8,17.7,805.66,47.88,25.82,383,1007,2,49.57860061739359,1,1
2021-09-28T04:45:12Z,77.8,17.7,805.66,47.88,25.82,383,1008,2,49.57860061739359,1,1
2021-09-28T04:45:14Z,77.8,17.7,815.43,47.88,25.82,383,1009,2,51.54960419893993,1,1
2021-09-28T04:45:16Z,77.8,17.7,815.43,47.88,25.82,383,1010,2,51.54960419893993,1,1
2021-09-28T04:45:18Z,77.8,17.7,810.55,47.88,25.82,383,1011,2,50.56115863734615,1,1
2021-09-28T04:45:20Z,77.8,17.7,810.55,47.88,25.82,383,1012,2,50.56115863734615,1,1
2021-09-28T04:45:22Z,77.8,17.7,810.55,47.88,25.82,383,1013,2,50.56115863734615,1,1
2021-09-28T04:45:24Z,77.8,17.7,805.66,47.88,25.82,383,1014,2,49.57860061739359,1,1
2021-09-28T04:45:26Z,77.8,17.7,810.55,47.88,25.82,383,1015,2,50.56115863734615,1,1
2021-09-28T04:45:28Z,77.7,17.7,805.66,47.88,25.82,383,1016,2,49.6242981111333,1,1
2021-09-28T04:45:30Z,77.8,17.7,805.66,47.78,25.86,380,1017,2,49.57860061739359,1,1
2021-09-28T04:45:32Z,77.8,17.7,815.43,47.78,25.86,380,1018,2,51.54960419893993,1,1
2021-09-28T04:45:34Z,77.7,17.7,810.55,47.78,25.86,380,1019,2,50.60745068230807,1,1
2021-09-28T04:45:36Z,77.7,17.7,815.43,47.78,25.86,380,1020,2,51.59649435770771,1,1
2021-09-28T04:45:38Z,77.7,17.7,810.55,47.78,25.86,380,1021,2,50.60745068230807,1,1
2021-09-28T04:45:40Z,77.7,17.7,810.55,47.78,25.86,380,1022,2,50.60745068230807,1,1
2021-09-28T04:45:42Z,77.7,17.7,810.55,47.78,25.86,380,1023,2,50.60745068230807,1,1
2021-09-28T04:45:44Z,77.7,17.7,810.55,47.78,25.86,380,1024,2,50.60745068230807,1,1
2021-09-28T04:45:46Z,77.7,17.7,805.66,47.78,25.86,380,1025,2,49.6242981111333,1,1
2021-09-28T04:45:48Z,77.7,17.7,805.66,47.78,25.86,380,1026,2,49.6242981111333,1,1
2021-09-28T04:45:50Z,77.7,17.7,805.66,47.72,25.91,380,1027,2,49.6242981111333,1,1
2021-09-28T04:45:52Z,77.7,17.7,805.66,47.72,25.91,380,1028,2,49.6242981111333,1,1
2021-09-28T04:45:54Z,77.7,17.7,815.43,47.72,25.91,380,1029,2,51.59649435770771,1,1
2021-09-28T04:45:56Z,77.7,17.7,815.43,47.72,25.91,380,1030,2,51.59649435770771,1,1
2021-09-28T04:45:58Z,77.8,17.8,810.55,47.72,25.91,380,1031,2,50.34655866432155,1,1
2021-09-28T04:46:00Z,77.7,17.7,810.55,47.72,25.91,380,1032,2,50.60745068230807,1,1
2021-09-28T04:46:02Z,77.7,17.7,810.55,47.72,25.91,380,1033,2,50.60745068230807,1,1
2021-09-28T04:46:04Z,77.7,17.7,810.55,47.72,25.91,380,1034,2,50.60745068230807,1,1
2021-09-28T04:46:06Z,77.7,17.7,810.55,47.72,25.91,380,1035,2,50.60745068230807,1,1
2021-09-28T04:46:08Z,77.7,17.8,810.55,47.72,25.91,380,1036,2,50.39287729947662,1,1
2021-09-28T04:46:10Z,77.7,17.7,805.66,47.65,25.93,380,1037,2,49.6242981111333,1,1
2021-09-28T04:46:12Z,77.7,17.7,805.66,47.65,25.93,380,1038,2,49.6242981111333,1,1
2021-09-28T04:46:14Z,77.7,17.8,805.66,47.65,25.93,380,1039,2,49.41248059849784,1,1
2021-09-28T04:46:16Z,77.7,17.7,805.66,47.65,25.93,380,1040,2,49.6242981111333,1,1
2021-09-28T04:46:18Z,77.7,17.7,805.66,47.65,25.93,380,1041,2,49.6242981111333,1,1
2021-09-28T04:46:20Z,77.7,17.7,805.66,47.65,25.93,380,1042,2,49.6242981111333,1,1
2021-09-28T04:46:22Z,77.7,17.8,805.66,47.65,25.93,380,1043,2,49.41248059849784,1,1
2021-09-28T04:46:24Z,77.6,17.7,805.66,47.65,25.93,380,1044,2,49.670048687958484,1,1
2021-09-28T04:46:26Z,77.7,17.8,805.66,47.65,25.93,380,1045,2,49.41248059849784,1,1
2021-09-28T04:46:28Z,77.6,17.7,805.66,47.65,25.93,380,1046,2,49.670048687958484,1,1
2021-09-28T04:46:30Z,77.7,17.8,805.66,47.65,25.93,380,1047,2,49.41248059849784,1,1
2021-09-28T04:46:32Z,77.7,17.8,815.43,47.65,25.93,380,1048,2,51.37914859135458,1,1
2021-09-28T04:46:34Z,77.6,17.7,815.43,47.65,25.93,380,1049,2,51.64343898498353,1,1
2021-09-28T04:46:36Z,77.7,17.8,810.55,47.65,25.93,380,1050,2,50.39287729947662,1,1
2021-09-28T04:46:38Z,77.6,17.7,815.43,47.65,25.93,380,1051,2,51.64343898498353,1,1
2021-09-28T04:46:40Z,77.6,17.7,810.55,47.65,25.93,380,1052,2,50.6537965009976,1,1
2021-09-28T04:46:42Z,77.6,17.7,810.55,47.65,25.93,380,1053,2,50.6537965009976,1,1
2021-09-28T04:46:44Z,77.6,17.7,810.55,47.65,25.93,380,1054,2,50.6537965009976,1,1
2021-09-28T04:46:46Z,77.6,17.7,805.66,47.65,25.93,380,1055,2,49.670048687958484,1,1
2021-09-28T04:46:48Z,77.6,17.7,805.66,47.65,25.93,380,1056,2,49.670048687958484,1,1
2021-09-28T04:46:50Z,77.6,17.7,805.66,47.49,25.95,379,1057,2,49.670048687958484,1,1
2021-09-28T04:46:52Z,77.6,17.7,805.66,47.49,25.95,379,1058,2,49.670048687958484,1,1
2021-09-28T04:46:54Z,77.6,17.7,815.43,47.49,25.95,379,1059,2,51.64343898498353,1,1
2021-09-28T04:46:56Z,77.6,17.7,815.43,47.49,25.95,379,1060,2,51.64343898498353,1,1
2021-09-28T04:46:58Z,77.6,17.8,810.55,47.49,25.95,379,1061,2,50.439249896617326,1,1
2021-09-28T04:47:00Z,77.6,17.7,810.55,47.49,25.95,379,1062,2,50.6537965009976,1,1
2021-09-28T04:47:02Z,77.6,17.7,810.55,47.49,25.95,379,1063,2,50.6537965009976,1,1
2021-09-28T04:47:04Z,77.6,17.8,805.66,47.49,25.95,379,1064,2,49.45825760984553,1,1
2021-09-28T04:47:06Z,77.6,17.8,805.66,47.49,25.95,379,1065,2,49.45825760984553,1,1
2021-09-28T04:47:08Z,77.6,17.7,805.66,47.49,25.95,379,1066,2,49.670048687958484,1,1
2021-09-28T04:47:10Z,77.6,17.7,805.66,47.62,25.88,381,1067,2,49.670048687958484,1,1
2021-09-28T04:47:12Z,77.6,17.8,810.55,47.62,25.88,381,1068,2,50.439249896617326,1,1
2021-09-28T04:47:14Z,77.6,17.8,810.55,47.62,25.88,381,1069,2,50.439249896617326,1,1
2021-09-28T04:47:16Z,77.6,17.7,815.43,47.62,25.88,381,1070,2,51.64343898498353,1,1
2021-09-28T04:47:18Z,77.5,17.7,810.55,47.62,25.88,381,1071,2,50.70019619122678,1,1
2021-09-28T04:47:20Z,77.6,17.8,810.55,47.62,25.88,381,1072,2,50.439249896617326,1,1
2021-09-28T04:47:22Z,77.6,17.8,810.55,47.62,25.88,381,1073,2,50.439249896617326,1,1
2021-09-28T04:47:24Z,77.6,17.8,805.66,47.62,25.88,381,1074,2,49.45825760984553,1,1
2021-09-28T04:47:26Z,77.6,17.8,805.66,47.62,25.88,381,1075,2,49.45825760984553,1,1
2021-09-28T04:47:28Z,77.6,17.8,805.66,47.62,25.88,381,1076,2,49.45825760984553,1,1
2021-09-28T04:47:30Z,77.6,17.8,805.66,47.65,25.88,381,1077,2,49.45825760984553,1,1
2021-09-28T04:47:32Z,77.6,17.8,805.66,47.65,25.88,381,1078,2,49.45825760984553,1,1
2021-09-28T04:47:34Z,77.6,17.8,815.43,47.65,25.88,381,1079,2,51.42612034307109,1,1
2021-09-28T04:47:36Z,77.6,17.8,815.43,47.65,25.88,381,1080,2,51.42612034307109,1,1
2021-09-28T04:47:38Z,77.6,17.8,810.55,47.65,25.88,381,1081,2,50.439249896617326,1,1
2021-09-28T04:47:40Z,77.6,17.8,810.55,47.65,25.88,381,1082,2,50.439249896617326,1,1
2021-09-28T04:47:42Z,77.5,17.8,810.55,47.65,25.88,381,1083,2,50.48567655418668,1,1
2021-09-28T04:47:44Z,77.6,17.8,805.66,47.65,25.88,381,1084,2,49.45825760984553,1,1
2021-09-28T04:47:46Z,77.6,17.8,805.66,47.65,25.88,381,1085,2,49.45825760984553,1,1
2021-09-28T04:47:48Z,77.5,17.8,805.66,47.65,25.88,381,1086,2,49.50408798729757,1,1
2021-09-28T04:47:50Z,77.5,17.7,805.66,47.65,25.92,385,1087,2,49.71585244442491,1,1
2021-09-28T04:47:52Z,77.5,17.8,805.66,47.65,25.92,385,1088,2,49.50408798729757,1,1
2021-09-28T04:47:54Z,77.5,17.8,805.66,47.65,25.92,385,1089,2,49.50408798729757,1,1
2021-09-28T04:47:56Z,77.5,17.8,805.66,47.65,25.92,385,1090,2,49.50408798729757,1,1
2021-09-28T04:47:58Z,77.5,17.8,805.66,47.65,25.92,385,1091,2,49.50408798729757,1,1
2021-09-28T04:48:00Z,77.5,17.8,805.66,47.65,25.92,385,1092,2,49.50408798729757,1,1
2021-09-28T04:48:02Z,77.5,17.8,805.66,47.65,25.92,385,1093,2,49.50408798729757,1,1
2021-09-28T04:48:04Z,77.5,17.8,805.66,47.65,25.92,385,1094,2,49.50408798729757,1,1
2021-09-28T04:48:06Z,77.5,17.8,805.66,47.65,25.92,385,1095,2,49.50408798729757,1,1
2021-09-28T04:48:08Z,77.5,17.8,805.66,47.65,25.92,385,1096,2,49.50408798729757,1,1
2021-09-28T04:48:10Z,77.5,17.8,805.66,47.65,25.92,385,1097,2,49.50408798729757,1,1
2021-09-28T04:48:12Z,77.5,17.8,805.66,47.65,25.92,385,1098,2,49.50408798729757,1,1
2021-09-28T04:48:14Z,77.5,17.8,810.55,47.65,25.92,385,1099,2,50.48567655418668,1,1
